job_id,puzzle_id,status,tiles_placed,duration,solver_id,current_state
51511,51511,solved1,78805,49125328,16,"[{""Idx"":0,""Rot"":false},{""Idx"":1,""Rot"":false},{""Idx"":2,""Rot"":true},{""Idx"":3,""Rot"":true},{""Idx"":11,""Rot"":true},{""Idx"":13,""Rot"":true},{""Idx"":4,""Rot"":false},{""Idx"":6,""Rot"":true},{""Idx"":18,""Rot"":false},{""Idx"":7,""Rot"":false},{""Idx"":10,""Rot"":false},{""Idx"":15,""Rot"":true},{""Idx"":5,""Rot"":true},{""Idx"":8,""Rot"":true},{""Idx"":9,""Rot"":true},{""Idx"":17,""Rot"":false},{""Idx"":12,""Rot"":true},{""Idx"":19,""Rot"":true},{""Idx"":14,""Rot"":true},{""Idx"":16,""Rot"":true}]"
51506,51506,solved1,150893,85104632,16,"[{""Idx"":0,""Rot"":false},{""Idx"":1,""Rot"":false},{""Idx"":2,""Rot"":true},{""Idx"":5,""Rot"":true},{""Idx"":3,""Rot"":true},{""Idx"":9,""Rot"":true},{""Idx"":10,""Rot"":true},{""Idx"":6,""Rot"":false},{""Idx"":8,""Rot"":false},{""Idx"":4,""Rot"":true},{""Idx"":19,""Rot"":false},{""Idx"":11,""Rot"":true},{""Idx"":17,""Rot"":true},{""Idx"":12,""Rot"":true},{""Idx"":18,""Rot"":true},{""Idx"":13,""Rot"":true},{""Idx"":7,""Rot"":true},{""Idx"":14,""Rot"":true},{""Idx"":15,""Rot"":true},{""Idx"":16,""Rot"":true}]"
51501,51501,solved1,48743,24425885,16,"[{""Idx"":0,""Rot"":false},{""Idx"":1,""Rot"":false},{""Idx"":2,""Rot"":false},{""Idx"":3,""Rot"":false},{""Idx"":4,""Rot"":true},{""Idx"":11,""Rot"":false},{""Idx"":7,""Rot"":false},{""Idx"":12,""Rot"":true},{""Idx"":9,""Rot"":true},{""Idx"":13,""Rot"":false},{""Idx"":14,""Rot"":false},{""Idx"":6,""Rot"":false},{""Idx"":8,""Rot"":false},{""Idx"":19,""Rot"":true},{""Idx"":17,""Rot"":true},{""Idx"":5,""Rot"":false},{""Idx"":16,""Rot"":false},{""Idx"":10,""Rot"":false},{""Idx"":15,""Rot"":true},{""Idx"":18,""Rot"":false}]"
51496,51496,solved1,16685,16360026,16,"[{""Idx"":0,""Rot"":false},{""Idx"":1,""Rot"":false},{""Idx"":2,""Rot"":false},{""Idx"":3,""Rot"":false},{""Idx"":4,""Rot"":false},{""Idx"":5,""Rot"":true},{""Idx"":6,""Rot"":true},{""Idx"":11,""Rot"":true},{""Idx"":13,""Rot"":true},{""Idx"":15,""Rot"":false},{""Idx"":7,""Rot"":false},{""Idx"":12,""Rot"":true},{""Idx"":9,""Rot"":false},{""Idx"":19,""Rot"":false},{""Idx"":18,""Rot"":true},{""Idx"":10,""Rot"":false},{""Idx"":8,""Rot"":false},{""Idx"":14,""Rot"":true},{""Idx"":17,""Rot"":false},{""Idx"":16,""Rot"":false}]"
51491,51491,solved1,53342,43785351,16,"[{""Idx"":0,""Rot"":false},{""Idx"":1,""Rot"":false},{""Idx"":2,""Rot"":true},{""Idx"":5,""Rot"":true},{""Idx"":10,""Rot"":true},{""Idx"":3,""Rot"":true},{""Idx"":7,""Rot"":true},{""Idx"":4,""Rot"":true},{""Idx"":8,""Rot"":true},{""Idx"":12,""Rot"":true},{""Idx"":14,""Rot"":true},{""Idx"":15,""Rot"":true},{""Idx"":16,""Rot"":true},{""Idx"":6,""Rot"":true},{""Idx"":18,""Rot"":true},{""Idx"":17,""Rot"":true},{""Idx"":9,""Rot"":true},{""Idx"":13,""Rot"":false},{""Idx"":19,""Rot"":false},{""Idx"":11,""Rot"":true}]"
51486,51486,solved1,1136143,599107842,16,"[{""Idx"":0,""Rot"":false},{""Idx"":3,""Rot"":true},{""Idx"":6,""Rot"":true},{""Idx"":14,""Rot"":true},{""Idx"":5,""Rot"":true},{""Idx"":2,""Rot"":true},{""Idx"":13,""Rot"":false},{""Idx"":4,""Rot"":true},{""Idx"":10,""Rot"":true},{""Idx"":9,""Rot"":true},{""Idx"":15,""Rot"":true},{""Idx"":11,""Rot"":true},{""Idx"":16,""Rot"":true},{""Idx"":12,""Rot"":true},{""Idx"":17,""Rot"":true},{""Idx"":7,""Rot"":true},{""Idx"":1,""Rot"":true},{""Idx"":8,""Rot"":true},{""Idx"":18,""Rot"":true},{""Idx"":19,""Rot"":false}]"
51481,51481,solved1,18401241,9968898040,16,"[{""Idx"":0,""Rot"":false},{""Idx"":1,""Rot"":false},{""Idx"":4,""Rot"":true},{""Idx"":9,""Rot"":true},{""Idx"":11,""Rot"":true},{""Idx"":10,""Rot"":true},{""Idx"":13,""Rot"":true},{""Idx"":2,""Rot"":true},{""Idx"":12,""Rot"":false},{""Idx"":5,""Rot"":false},{""Idx"":16,""Rot"":true},{""Idx"":8,""Rot"":true},{""Idx"":6,""Rot"":true},{""Idx"":14,""Rot"":false},{""Idx"":3,""Rot"":false},{""Idx"":7,""Rot"":true},{""Idx"":18,""Rot"":true},{""Idx"":15,""Rot"":false},{""Idx"":17,""Rot"":false},{""Idx"":19,""Rot"":false}]"
51476,51476,solved1,57534,32364579,16,"[{""Idx"":0,""Rot"":false},{""Idx"":1,""Rot"":false},{""Idx"":2,""Rot"":false},{""Idx"":3,""Rot"":true},{""Idx"":4,""Rot"":true},{""Idx"":5,""Rot"":true},{""Idx"":14,""Rot"":false},{""Idx"":6,""Rot"":false},{""Idx"":9,""Rot"":false},{""Idx"":7,""Rot"":true},{""Idx"":17,""Rot"":false},{""Idx"":18,""Rot"":false},{""Idx"":19,""Rot"":false},{""Idx"":16,""Rot"":true},{""Idx"":10,""Rot"":true},{""Idx"":11,""Rot"":true},{""Idx"":13,""Rot"":true},{""Idx"":15,""Rot"":true},{""Idx"":8,""Rot"":false},{""Idx"":12,""Rot"":false}]"
51471,51471,solved1,8157,10283992,16,"[{""Idx"":0,""Rot"":false},{""Idx"":1,""Rot"":false},{""Idx"":2,""Rot"":false},{""Idx"":3,""Rot"":false},{""Idx"":4,""Rot"":true},{""Idx"":5,""Rot"":false},{""Idx"":6,""Rot"":false},{""Idx"":8,""Rot"":false},{""Idx"":9,""Rot"":true},{""Idx"":15,""Rot"":true},{""Idx"":17,""Rot"":true},{""Idx"":14,""Rot"":true},{""Idx"":10,""Rot"":true},{""Idx"":7,""Rot"":false},{""Idx"":16,""Rot"":false},{""Idx"":13,""Rot"":false},{""Idx"":11,""Rot"":true},{""Idx"":19,""Rot"":true},{""Idx"":18,""Rot"":true},{""Idx"":12,""Rot"":true}]"
51466,51466,solved1,36753,32157976,16,"[{""Idx"":0,""Rot"":false},{""Idx"":1,""Rot"":false},{""Idx"":2,""Rot"":false},{""Idx"":3,""Rot"":false},{""Idx"":4,""Rot"":false},{""Idx"":8,""Rot"":false},{""Idx"":5,""Rot"":false},{""Idx"":6,""Rot"":false},{""Idx"":9,""Rot"":true},{""Idx"":12,""Rot"":true},{""Idx"":14,""Rot"":true},{""Idx"":7,""Rot"":true},{""Idx"":10,""Rot"":false},{""Idx"":15,""Rot"":false},{""Idx"":16,""Rot"":true},{""Idx"":18,""Rot"":false},{""Idx"":11,""Rot"":true},{""Idx"":17,""Rot"":false},{""Idx"":13,""Rot"":true},{""Idx"":19,""Rot"":false}]"
